Taxonomie ;Artname;1_K;1_F;2_K;2_F;3_K;3_F;4_K;4_F;5_K;5_F;6_K;6_F;7_K;7_F;8_K;8_F;9_K;9_F
Crustaceae;Gammarus_pulex;9;19;65;48;29;120;10;2;4;9;6;5;7;13;5;7;19;0
Coleoptera;Agabus_bipustulatus;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Elmis_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Elodes_sp.;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coleoptera;Hydrobius_sp.;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Ceratopogonidea_gen_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Diptera;Chironomus_sp.;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ephemeroptera;Baetis_sp.;0;4;13;0;0;0;0;0;0;1;0;0;0;4;0;4;3;0
Ephemeroptera;Centroptilum_sp.;0;0;0;30;0;11;4;0;0;0;1;3;4;0;0;2;0;0
Ephemeroptera;Ecdyonurus_sp.;0;0;5;10;0;0;0;0;1;4;0;0;0;1;0;3;1;0
Ephemeroptera;Ephemera_danica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Ephemeroptera;Ephemerella_notata;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Ephemeroptera;Ephemera_vulgata;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;4;0
Ephemeroptera;Ephemerella_sp.;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Ephemeroptera;Rhithrogena_sp.;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0
Gastropoda;Aplexa_hypnorm;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gastropoda;Bythinella_dunkteri;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gastropoda;Planorbis_planorbis;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
Heteroptera;Velia caprai;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Hirudinea;Erpobdella_octocolata;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Hirudinea;Erpobdella_testaceae;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Hirudinea;Glossiphonia_complanata;0;0;11;0;8;0;0;0;0;0;3;0;0;0;0;0;0;1
Platyhelminthes;Dugesia_lugubris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0
Plecoptera;Chloroperla_sp.;1;0;3;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Plecoptera;Isoperla_sp.;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plecoptera;Leuctridea_sp.;0;0;0;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Plecoptera;Nemoura_sp.;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Plecoptera;Protonmura_sp.;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Oligochoeta;Eisenilla_tetraedra;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Polycentropus_flavomaculatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Chaetopteryx_villosa;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Potamophylax_latipennis;2;1;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Sericostoma_flavicorne;0;0;3;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Halesus_radiatus;0;0;0;4;12;0;0;0;1;0;0;0;0;0;0;0;0;0
Trichoptera;Plectrochemia_sp.;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Glyphotaelius_pellucidus;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Agapetus_fuscipes;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trichoptera;Brachycentrus_subnubilis;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
